id_inscripcion;id_previa;id_turno;id_fechaExamen;id_calificacion;libro;folio;createdAt;updatedAt
152;274;2;65;9;70;2;2024-07-02 13:00:00;2024-07-02 13:00:00
153;275;2;51;9;70;1;2024-07-02 13:00:00;2024-07-02 13:00:00
154;383;2;51;2;68;82;2024-07-02 13:00:00;2024-07-02 13:00:00
155;429;2;51;2;68;82;2024-07-02 13:00:00;2024-07-02 13:00:00
156;279;2;66;5;68;78;2024-07-02 13:00:00;2024-07-02 13:00:00
157;276;2;52;4;70;3;2024-07-02 13:00:00;2024-07-02 13:00:00
158;1109;2;67;2;68;79;2024-07-02 13:00:00;2024-07-02 13:00:00
159;297;2;67;2;68;79;2024-07-02 13:00:00;2024-07-02 13:00:00
160;1056;2;67;9;68;79;2024-07-02 13:00:00;2024-07-02 13:00:00
161;384;2;68;2;68;84;2024-07-02 13:00:00;2024-07-02 13:00:00
162;431;2;68;2;68;84;2024-07-02 13:00:00;2024-07-02 13:00:00
163;957;2;69;5;68;83;2024-07-02 13:00:00;2024-07-02 13:00:00
164;1106;2;70;6;68;81;2024-07-02 13:00:00;2024-07-02 13:00:00
165;1113;2;70;2;68;81;2024-07-02 13:00:00;2024-07-02 13:00:00
166;1118;2;70;2;68;81;2024-07-02 13:00:00;2024-07-02 13:00:00
167;1107;2;71;3;68;80;2024-07-02 13:00:00;2024-07-02 13:00:00
168;1058;2;71;9;68;80;2024-07-02 13:00:00;2024-07-02 13:00:00
