"id_inscripcion";"id_previa";"id_turno";"id_fechaExamen";"id_calificacion";"libro";"folio";"createdAt";"updatedAt"
1;61;1;1;2;"68";"19";"2024-04-17 08:00:00";"2025-02-17 13:48:36"
2;127;1;1;2;"68";"19";"2024-04-17 08:00:00";"2025-02-17 13:48:36"
3;117;1;2;2;"68";"20";"2024-04-17 08:00:00";"2025-02-17 13:49:13"
4;91;1;2;2;"68";"20";"2024-04-17 08:00:00";"2025-02-17 13:49:13"
5;291;1;3;5;"68";"21";"2024-04-18 08:00:00";"2025-02-17 13:49:55"
6;1039;1;4;9;"68";"22";"2024-04-18 08:00:00";"2025-02-17 13:50:13"
7;58;1;5;2;"68";"24";"2024-04-19 08:00:00";"2025-02-17 13:48:18"
8;60;1;5;2;"68";"24";"2024-04-19 08:00:00";"2025-02-17 13:48:18"
9;41;1;5;2;"68";"24";"2024-04-19 08:00:00";"2025-02-17 13:48:18"
10;212;1;6;2;"68";"25";"2024-04-19 08:00:00";"2025-02-17 13:48:57"
11;1112;1;7;2;"68";"23";"2024-04-19 08:00:00";"2025-02-17 13:50:33"
12;1339;1;8;9;"68";"23";"2024-04-19 08:00:00";"2025-02-17 13:47:55"
13;1115;1;7;6;"68";"23";"2024-04-19 08:00:00";"2025-02-17 13:50:33"
14;1119;1;7;2;"68";"23";"2024-04-19 08:00:00";"2025-02-17 13:50:33"
15;43;1;9;2;"68";"26";"2024-04-22 13:00:00";"2025-02-17 13:48:25"
16;29;1;9;2;"68";"26";"2024-04-22 13:00:00";"2025-02-17 13:48:25"
17;80;1;10;2;"68";"42";"2024-04-29 13:00:00";"2025-02-17 13:49:02"
18;96;1;11;2;"68";"28";"2024-04-22 13:00:00";"2025-02-17 13:49:18"
19;203;1;12;9;"68";"27";"2024-04-22 13:00:00";"2025-02-17 13:49:36"
20;318;1;13;9;"68";"43";"2024-04-29 13:00:00";"2025-02-17 13:49:43"
21;193;1;13;6;"68";"43";"2024-04-29 13:00:00";"2025-02-17 13:49:43"
22;14;1;14;2;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
23;2;1;14;4;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
24;23;1;14;2;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
25;108;1;14;2;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
26;9;1;14;9;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
27;27;1;14;4;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
28;30;1;14;2;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
29;34;1;14;4;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
30;36;1;14;2;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
31;124;1;14;4;"68";"29";"2024-04-23 08:00:00";"2025-02-17 13:48:12"
32;103;1;15;4;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
33;238;1;15;2;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
34;110;1;15;2;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
35;81;1;15;2;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
36;195;1;15;4;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
37;146;1;15;4;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
38;88;1;15;2;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
39;126;1;15;4;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
40;1116;1;15;2;"68";"30";"2024-04-23 08:00:00";"2025-02-17 13:48:52"
41;163;1;16;4;"68";"31";"2024-04-23 08:00:00";"2025-02-17 13:49:31"
42;192;1;16;9;"68";"31";"2024-04-23 08:00:00";"2025-02-17 13:49:31"
43;226;1;16;2;"68";"31";"2024-04-23 08:00:00";"2025-02-17 13:49:31"
44;194;1;16;9;"68";"31";"2024-04-23 08:00:00";"2025-02-17 13:49:31"
45;170;1;16;9;"68";"31";"2024-04-23 08:00:00";"2025-02-17 13:49:31"
46;187;1;16;9;"68";"31";"2024-04-23 08:00:00";"2025-02-17 13:49:31"
47;658;1;17;2;"68";"32";"2024-04-23 08:00:00";"2025-02-17 13:50:07"
48;266;1;17;9;"68";"32";"2024-04-23 08:00:00";"2025-02-17 13:50:07"
49;674;1;17;2;"68";"32";"2024-04-23 08:00:00";"2025-02-17 13:50:07"
50;269;1;17;9;"68";"32";"2024-04-23 08:00:00";"2025-02-17 13:50:07"
51;272;1;17;2;"68";"32";"2024-04-23 08:00:00";"2025-02-17 13:50:07"
52;3;1;18;4;"68";"33";"2024-04-24 13:00:00";"2025-02-17 13:48:30"
53;8;1;18;2;"68";"33";"2024-04-24 13:00:00";"2025-02-17 13:48:30"
54;35;1;18;2;"68";"33";"2024-04-24 13:00:00";"2025-02-17 13:48:30"
55;42;1;18;2;"68";"33";"2024-04-24 13:00:00";"2025-02-17 13:48:30"
56;89;1;19;6;"68";"34";"2024-04-24 13:00:00";"2025-02-17 13:49:07"
57;218;1;20;9;"68";"36";"2024-04-24 13:00:00";"2025-02-17 13:49:51"
58;1338;1;21;9;"68";"35";"2024-04-24 13:00:00";"2025-02-17 13:47:47"
59;44;1;22;5;"68";"37";"2024-04-29 13:00:00";"2025-02-17 13:48:05"
60;51;1;22;5;"68";"37";"2024-04-29 13:00:00";"2025-02-17 13:48:05"
61;54;1;22;6;"68";"37";"2024-04-29 13:00:00";"2025-02-17 13:48:05"
62;66;1;22;4;"68";"37";"2024-04-29 13:00:00";"2025-02-17 13:48:05"
63;71;1;23;2;"68";"38";"2024-04-29 13:00:00";"2025-02-17 13:48:46"
64;99;1;23;5;"68";"38";"2024-04-29 13:00:00";"2025-02-17 13:48:46"
65;144;1;23;2;"68";"38";"2024-04-29 13:00:00";"2025-02-17 13:48:46"
66;171;1;23;6;"68";"38";"2024-04-29 13:00:00";"2025-02-17 13:48:46"
67;206;1;23;2;"68";"38";"2024-04-29 13:00:00";"2025-02-17 13:48:46"
68;1337;1;24;10;"68";"40";"2024-04-29 13:00:00";"2025-02-17 13:39:38"
69;1030;1;25;2;"68";"39";"2024-04-29 13:00:00";"2025-02-17 13:49:26"
70;172;1;25;2;"68";"39";"2024-04-29 13:00:00";"2025-02-17 13:49:26"
71;800;1;26;2;"68";"41";"2024-04-29 13:00:00";"2025-02-17 13:50:28"
72;1038;1;26;9;"68";"41";"2024-04-29 13:00:00";"2025-02-17 13:50:28"
73;1041;1;26;2;"68";"41";"2024-04-29 13:00:00";"2025-02-17 13:50:28"
74;1053;1;26;5;"68";"41";"2024-04-29 13:00:00";"2025-02-17 13:50:28"
75;235;1;27;2;"58";"197";"2024-04-29 13:00:00";"2025-02-18 12:34:35"
76;922;1;27;9;"58";"197";"2024-04-29 13:00:00";"2025-02-18 12:34:35"
77;273;1;27;9;"58";"197";"2024-04-29 13:00:00";"2025-02-18 12:34:35"
78;233;1;27;11;"58";"197";"2024-04-29 13:00:00";"2025-02-18 12:34:35"
79;274;1;28;4;"58";"198";"2024-04-29 13:00:00";"2025-02-18 12:34:29"
80;234;1;28;11;"58";"198";"2024-04-29 13:00:00";"2025-02-18 12:34:29"
81;278;1;28;2;"68";"44";"2024-04-29 13:00:00";"2025-02-17 13:50:01"
82;1098;1;30;9;"58";"199";"2024-04-29 13:00:00";"2024-04-29 13:00:00"
83;271;1;30;2;"68";"45";"2024-04-29 13:00:00";"2025-02-17 13:50:17"
84;796;1;32;2;"68";"49";"2024-04-29 13:00:00";"2025-02-17 13:50:38"
85;797;1;33;2;"68";"50";"2024-04-29 13:00:00";"2025-02-17 13:50:59"
86;798;1;34;2;"68";"46";"2024-04-29 13:00:00";"2025-02-17 13:50:48"
87;799;1;35;2;"68";"48";"2024-04-29 13:00:00";"2025-02-17 13:50:44"
88;801;1;36;2;"68";"47";"2024-04-29 13:00:00";"2025-02-17 13:50:54"
89;1054;1;36;9;"68";"47";"2024-04-29 13:00:00";"2025-02-17 13:50:54"
90;1118;1;36;2;"68";"47";"2024-04-29 13:00:00";"2025-02-17 13:50:54"
91;1120;1;36;9;"68";"47";"2024-04-29 13:00:00";"2025-02-17 13:50:54"
92;802;1;37;2;"68";"51";"2024-04-29 13:00:00";"2025-02-17 13:51:04"
93;1099;1;37;9;"68";"51";"2024-04-29 13:00:00";"2025-02-17 13:51:04"
94;1153;1;37;9;"68";"51";"2024-04-29 13:00:00";"2025-02-17 13:51:04"
95;1137;1;30;9;"68";"45";"2024-04-29 13:00:00";"2025-02-17 13:50:17"
96;58;2;38;2;"68";"56";"2024-07-01 08:00:00";"2025-02-18 12:35:00"
97;62;2;38;2;"68";"56";"2024-07-01 08:00:00";"2025-02-18 12:35:00"
98;2;2;39;4;"68";"60";"2024-07-01 08:00:00";"2025-02-18 12:34:53"
99;52;2;39;2;"68";"60";"2024-07-01 08:00:00";"2025-02-18 12:34:53"
100;27;2;39;4;"68";"60";"2024-07-01 08:00:00";"2025-02-18 12:34:53"
101;55;2;39;4;"68";"60";"2024-07-01 08:00:00";"2025-02-18 12:34:53"
102;34;2;39;9;"68";"60";"2024-07-01 08:00:00";"2025-02-18 12:34:53"
103;56;2;39;2;"68";"60";"2024-07-01 08:00:00";"2025-02-18 12:34:53"
104;57;2;39;2;"68";"60";"2024-07-01 08:00:00";"2025-02-18 12:34:53"
105;98;2;40;9;"68";"57";"2024-07-01 08:00:00";"2025-02-18 12:35:25"
106;134;2;41;9;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
107;103;2;41;6;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
108;110;2;41;9;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
109;142;2;41;4;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
110;113;2;41;2;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
111;116;2;41;2;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
112;146;2;41;9;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
113;1116;2;41;9;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
114;176;2;41;2;"68";"61";"2024-07-01 08:00:00";"2025-02-18 12:35:19"
115;202;2;42;9;"68";"53";"2024-07-01 08:00:00";"2025-02-18 12:46:14"
116;163;2;43;4;"68";"62";"2024-07-01 08:00:00";"2025-02-18 12:45:59"
117;164;2;43;4;"68";"62";"2024-07-01 08:00:00";"2025-02-18 12:45:59"
118;226;2;43;9;"68";"62";"2024-07-01 08:00:00";"2025-02-18 12:45:59"
119;1100;2;44;9;"68";"58";"2024-07-01 08:00:00";"2025-02-18 12:46:31"
120;1108;2;45;2;"68";"63";"2024-07-01 08:00:00";"2025-02-18 12:46:26"
121;1051;2;46;9;"68";"54";"2024-07-01 08:00:00";"2025-02-18 12:46:48"
122;272;2;47;6;"68";"64";"2024-07-01 08:00:00";"2025-02-18 12:46:43"
123;959;2;48;9;"68";"55";"2024-07-01 08:00:00";"2025-02-18 12:47:45"
124;1029;2;49;9;"68";"65";"2024-07-01 08:00:00";"2025-02-18 12:47:14"
125;1112;2;50;2;"68";"59";"2024-07-01 08:00:00";"2025-02-18 12:47:19"
126;1115;2;50;9;"68";"59";"2024-07-01 08:00:00";"2025-02-18 12:47:19"
127;96;2;51;2;"68";"52";"2024-07-01 13:00:00";"2025-02-18 12:45:39"
128;193;2;52;4;"68";"67";"2024-07-01 13:00:00";"2025-02-18 12:46:04"
129;1096;2;53;10;"70";"1";"2024-07-02 13:00:00";"2025-02-18 12:48:10"
130;1097;2;54;10;"70";"3";"2024-07-02 13:00:00";"2025-02-18 12:48:46"
131;1110;2;55;2;"68";"66";"2024-07-01 13:00:00";"2025-02-18 12:47:51"
132;958;2;55;2;"68";"66";"2024-07-01 13:00:00";"2025-02-18 12:47:51"
133;61;2;56;2;"68";"69";"2024-07-02 08:00:00";"2025-02-18 12:35:06"
134;101;2;57;4;"68";"73";"2024-07-02 08:00:00";"2025-02-18 12:34:46"
135;44;2;57;6;"68";"73";"2024-07-02 08:00:00";"2025-02-18 12:34:46"
136;51;2;57;4;"68";"73";"2024-07-02 08:00:00";"2025-02-18 12:34:46"
137;54;2;57;9;"68";"73";"2024-07-02 08:00:00";"2025-02-18 12:34:46"
138;66;2;57;3;"68";"73";"2024-07-02 08:00:00";"2025-02-18 12:34:46"
139;91;2;58;9;"68";"68";"2024-07-02 08:00:00";"2025-02-18 12:45:33"
140;89;2;59;2;"68";"70";"2024-07-02 08:00:00";"2025-02-18 12:35:31"
141;128;2;59;2;"68";"70";"2024-07-02 08:00:00";"2025-02-18 12:35:31"
142;133;2;60;4;"68";"74";"2024-07-02 08:00:00";"2025-02-18 12:35:14"
143;160;2;60;3;"68";"74";"2024-07-02 08:00:00";"2025-02-18 12:35:14"
144;171;2;60;5;"68";"74";"2024-07-02 08:00:00";"2025-02-18 12:35:14"
145;169;2;61;9;"68";"71";"2024-07-02 08:00:00";"2025-02-18 12:46:09"
146;1030;2;62;6;"68";"75";"2024-07-02 08:00:00";"2025-02-18 12:45:55"
147;1101;2;63;6;"68";"76";"2024-07-02 08:00:00";"2025-02-18 12:46:22"
148;1117;2;64;11;"68";"72";"2024-07-02 08:00:00";"2025-02-18 12:46:39"
149;1053;2;65;2;"68";"77";"2024-07-02 08:00:00";"2025-02-18 12:47:10"
150;1057;2;65;2;"68";"77";"2024-07-02 08:00:00";"2025-02-18 12:47:10"
151;289;2;66;9;"58";"200";"2024-07-02 13:00:00";"2025-02-18 12:48:05"
152;274;2;67;9;"70";"2";"2024-07-02 13:00:00";"2025-02-18 12:48:01"
153;275;2;53;9;"70";"1";"2024-07-02 13:00:00";"2025-02-18 12:48:10"
154;383;2;53;2;"68";"82";"2024-07-02 13:00:00";"2025-02-18 12:46:57"
155;429;2;53;2;"68";"82";"2024-07-02 13:00:00";"2025-02-18 12:46:57"
156;279;2;69;5;"68";"78";"2024-07-02 13:00:00";"2025-02-18 12:47:03"
157;276;2;54;4;"70";"3";"2024-07-02 13:00:00";"2025-02-18 12:48:46"
158;1109;2;70;2;"68";"79";"2024-07-02 13:00:00";"2025-02-18 12:46:53"
159;297;2;70;2;"68";"79";"2024-07-02 13:00:00";"2025-02-18 12:46:53"
160;1056;2;70;9;"68";"79";"2024-07-02 13:00:00";"2025-02-18 12:46:53"
161;384;2;71;2;"68";"84";"2024-07-02 13:00:00";"2025-02-18 12:47:24"
162;431;2;71;2;"68";"84";"2024-07-02 13:00:00";"2025-02-18 12:47:24"
163;957;2;72;5;"68";"83";"2024-07-02 13:00:00";"2025-02-18 12:47:28"
164;1106;2;73;6;"68";"81";"2024-07-02 13:00:00";"2025-02-18 12:47:35"
165;1113;2;73;2;"68";"81";"2024-07-02 13:00:00";"2025-02-18 12:47:35"
166;1118;2;73;2;"68";"81";"2024-07-02 13:00:00";"2025-02-18 12:47:35"
167;1107;2;74;3;"68";"80";"2024-07-02 13:00:00";"2025-02-18 12:47:40"
168;1058;2;74;9;"68";"80";"2024-07-02 13:00:00";"2025-02-18 12:47:40"
169;127;3;75;2;"68";"86";"2024-09-16 13:00:00";"2025-02-18 12:49:36"
170;117;3;76;9;"68";"85";"2024-09-16 13:00:00";"2025-02-18 12:53:42"
171;245;3;77;2;"68";"89";"2024-09-18 08:00:00";"2025-02-18 12:49:50"
172;1420;3;78;10;"68";"87";"2024-09-18 08:00:00";"2025-02-18 12:54:40"
173;1421;3;79;10;"68";"88";"2024-09-18 08:00:00";"2025-02-18 12:57:36"
174;1417;3;80;2;"68";"90";"2024-09-19 08:00:00";"2025-02-18 12:54:12"
175;196;3;81;4;"68";"91";"2024-09-19 08:00:00";"2025-02-18 12:54:20"
176;213;3;82;2;"68";"92";"2024-09-19 08:00:00";"2025-02-18 12:54:52"
177;291;3;82;2;"68";"92";"2024-09-19 08:00:00";"2025-02-18 12:54:52"
178;861;3;83;2;"68";"93";"2024-09-19 08:00:00";"2025-02-18 12:58:13"
179;43;3;84;9;"68";"94";"2024-09-23 13:00:00";"2025-02-18 12:49:22"
180;29;3;84;2;"68";"94";"2024-09-23 13:00:00";"2025-02-18 12:49:22"
181;96;3;85;4;"68";"97";"2024-09-23 13:00:00";"2025-02-18 12:53:48"
182;1090;3;86;2;"68";"95";"2024-09-23 13:00:00";"2025-02-18 12:55:15"
183;904;3;87;2;"68";"98";"2024-09-23 13:00:00";"2025-02-18 12:57:53"
184;1091;3;88;2;"68";"96";"2024-09-23 13:00:00";"2025-02-18 12:58:19"
185;1103;3;88;9;"68";"96";"2024-09-23 13:00:00";"2025-02-18 12:58:19"
186;2;3;89;2;"68";"99";"2024-09-24 08:00:00";"2025-02-18 12:49:04"
187;108;3;89;6;"68";"99";"2024-09-24 08:00:00";"2025-02-18 12:49:04"
188;27;3;89;6;"68";"99";"2024-09-24 08:00:00";"2025-02-18 12:49:04"
189;30;3;89;3;"68";"99";"2024-09-24 08:00:00";"2025-02-18 12:49:04"
190;55;3;89;4;"68";"99";"2024-09-24 08:00:00";"2025-02-18 12:49:04"
191;56;3;89;6;"68";"99";"2024-09-24 08:00:00";"2025-02-18 12:49:04"
192;97;3;90;2;"68";"100";"2024-09-24 08:00:00";"2025-02-18 12:50:50"
193;103;3;90;6;"68";"100";"2024-09-24 08:00:00";"2025-02-18 12:50:50"
194;238;3;90;2;"68";"100";"2024-09-24 08:00:00";"2025-02-18 12:50:50"
195;241;3;90;2;"68";"100";"2024-09-24 08:00:00";"2025-02-18 12:50:50"
196;256;3;90;2;"68";"100";"2024-09-24 08:00:00";"2025-02-18 12:50:50"
197;143;3;90;4;"68";"100";"2024-09-24 08:00:00";"2025-02-18 12:50:50"
198;123;3;90;4;"68";"100";"2024-09-24 08:00:00";"2025-02-18 12:50:50"
199;188;3;91;9;"68";"101";"2024-09-24 08:00:00";"2025-02-18 12:54:00"
200;1164;3;91;5;"68";"101";"2024-09-24 08:00:00";"2025-02-18 12:54:00"
201;1165;3;92;4;"68";"102";"2024-09-24 08:00:00";"2025-02-18 12:54:48"
202;893;3;93;7;"68";"103";"2024-09-24 08:00:00";"2025-02-18 12:55:08"
