"id_inscripcion_curso";"id_ciclo";"id_plan";"id_curso";"id_division";"id_alumno";"createdAt";"updatedAt"
1;57;6;22;1;36;"2024-11-11 15:22:12";"2024-11-20 14:46:26"
19;57;5;19;1;2;"2024-11-21 13:00:34";"2024-11-21 15:30:33"
20;56;5;18;1;2;"2024-11-21 13:01:01";"2024-11-21 13:01:01"
25;55;5;17;2;2;"2024-11-21 15:30:20";"2024-11-21 15:30:20"
26;30;3;13;2;821;"2024-11-21 15:34:44";"2024-11-21 15:34:44"
27;31;3;13;2;821;"2024-11-21 15:34:57";"2024-11-21 15:36:09"
28;32;4;14;2;821;"2024-11-21 15:35:15";"2024-11-21 15:35:56"
29;34;4;16;2;821;"2024-11-21 15:35:24";"2024-11-21 15:35:24"
30;33;4;15;2;821;"2024-11-21 15:35:39";"2024-11-21 15:35:39"
